,City,lat,lon,temp,humidity,clouds,wind,c_id
765,nybyen,78.2,15.6166667,-16.315600000000025,94,0,0.81,2729456
12,tobamawoe,-1.2,121.616667,71.64680000000001,96,44,0.96,1626231
112,rapua,-15.905,38.2783333,72.81679999999997,90,44,1.21,1033354
485,ban nam phon phatthana,17.348084,102.561389,73.66999999999996,94,100,1.5,1609324
357,general jose de san martin,-47.445207,-70.927162,45.99680000000002,42,0,4.56,3841475
86,korsheni,-12.6666667,27.5333333,60.846800000000016,96,64,1.16,917889
739,lille grosnes,68.733333,17.333333,29.51600000000001,86,88,5.1,3154000
742,layda,71.710833,83.230556,-3.0855999999999852,74,76,7.96,1510695
760,bkhak-karga,75.866667,137.5,-5.6055999999999955,86,24,6.46,0
247,bragado,-35.119121,-60.489658,71.24179999999998,56,8,2.41,3863882
624,stehekin,48.3094444,-120.6552778,30.574400000000047,65,20,0.76,5802694
718,koivujarvi,63.0,26.85,19.66999999999996,79,0,0.5,634612
509,uttar panchuria,23.8166667,89.9,66.46999999999997,88,90,7.7,1348441
741,torg-nyuyeuka,70.116667,136.816667,1.414399999999965,91,8,1.91,2013921
116,ccihuana,-14.3352778,-71.0547222,36.726799999999955,77,36,1.71,3954288
571,douar soukhlidja,36.5558333,1.8555556,50.26999999999996,87,40,4.1,2487709
188,garganta do lizandro,-24.866667,-49.05,71.24179999999998,88,68,0.96,3466405
709,ayrinmaki,64.616667,24.616667,16.069999999999958,78,88,1.0,640276
757,chernaya,70.516667,88.966667,2.7643999999999664,84,80,4.06,1490256
139,menafotaka,-17.75,48.85,73.66999999999996,94,75,3.1,1082639
472,las lajitas,12.9833333,-86.3,72.42440000000005,63,0,2.66,3619194
600,angora,41.8519444,-103.1247222,56.58800000000005,35,1,6.7,5693459
714,ornskoldsvik,63.3,18.716667,14.269999999999957,85,56,2.1,2686469
631,ben linn landing,48.2505556,-93.8852778,18.42799999999996,61,1,1.66,5033463
189,matos costa,-26.45,-51.15,65.57180000000002,96,92,1.06,3466393
640,bolshaya karpovka,51.8644,37.8014,35.07440000000005,96,92,5.96,540121
45,pasirdjaja,-7.0696,108.1941,66.92180000000002,93,24,1.31,8028797
475,sian,13.0833333,-1.2166667,76.11439999999996,66,12,1.21,6930706
391,puerto nuevo,-53.35,-69.433333,45.951799999999956,99,56,14.26,3875367
346,el salton,-47.55,-73.083333,31.7318,93,8,0.86,3894483
281,raumati,-40.2,176.15,71.87180000000002,50,0,4.91,2181988
516,myazedi,21.1,96.5333333,82.32440000000005,45,0,1.41,1311871
75,barao de suacuna,-8.4,-35.266667,77.26999999999995,88,75,2.1,3400804
694,gnusino,58.667799,49.658815,23.824400000000047,90,80,4.91,548408
422,djadou kope,6.3422222,1.2111111,80.86999999999996,83,20,1.0,2363534
341,oban,-46.9,168.133333,55.1318,95,88,9.16,2206939
245,wardry,-33.083333,146.783333,75.96679999999998,45,0,2.11,2167174
151,ankazomanga,-19.65,45.3166667,66.24680000000002,89,0,1.46,1059051
282,curarrehue,-39.35,-71.583333,48.3818,80,24,1.16,3875070
185,c. chicuachana,-25.1669444,32.8333333,75.56180000000003,90,0,2.81,1024701
590,yakkabag,38.9236111,66.8408333,68.64440000000002,34,0,3.91,1346492
