,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos,tago
199,0.0,Wed Mar 28 13:32:04 +0000 2018,0.0,1.0,0.0,0.0,Mon Jan 29 03:27:04 +0000 2018,0.0,1.0,0.0,-0.128,Thu Apr 05 22:29:11 +0000 2018,0.091,0.909,0.0,0.0,Fri Apr 06 00:26:33 +0000 2018,0.0,1.0,0.0,0.0,Thu Apr 05 07:57:47 +0000 2018,0.0,1.0,0.0,-199
198,0.7506,Wed Mar 28 15:35:27 +0000 2018,0.0,0.72,0.28,0.5859,Mon Jan 29 03:34:36 +0000 2018,0.0,0.817,0.183,-0.3626,Thu Apr 05 22:37:38 +0000 2018,0.098,0.902,0.0,0.6318,Fri Apr 06 00:32:58 +0000 2018,0.07,0.759,0.171,-0.5719,Thu Apr 05 08:16:01 +0000 2018,0.117,0.883,0.0,-198
197,0.0,Wed Mar 28 16:00:10 +0000 2018,0.0,1.0,0.0,0.0,Mon Jan 29 03:37:27 +0000 2018,0.0,1.0,0.0,0.5574,Thu Apr 05 22:44:50 +0000 2018,0.082,0.744,0.174,0.6908,Fri Apr 06 00:34:12 +0000 2018,0.097,0.564,0.338,-0.5994,Thu Apr 05 08:30:06 +0000 2018,0.206,0.794,0.0,-197
196,-0.8977,Wed Mar 28 16:30:00 +0000 2018,0.291,0.709,0.0,0.6696,Mon Jan 29 03:37:35 +0000 2018,0.0,0.522,0.478,-0.7717,Thu Apr 05 22:51:07 +0000 2018,0.271,0.729,0.0,0.0,Fri Apr 06 00:39:40 +0000 2018,0.0,1.0,0.0,-0.7184,Thu Apr 05 08:44:03 +0000 2018,0.207,0.793,0.0,-196
195,-0.34,Wed Mar 28 17:00:12 +0000 2018,0.117,0.812,0.071,0.8118,Mon Jan 29 03:45:43 +0000 2018,0.0,0.757,0.243,0.0,Thu Apr 05 22:52:53 +0000 2018,0.0,1.0,0.0,-0.5106,Fri Apr 06 00:51:28 +0000 2018,0.216,0.784,0.0,0.0258,Thu Apr 05 09:00:10 +0000 2018,0.0,0.932,0.068,-195
194,0.0,Wed Mar 28 18:00:05 +0000 2018,0.0,1.0,0.0,0.4588,Mon Jan 29 03:46:27 +0000 2018,0.0,0.727,0.273,-0.0772,Thu Apr 05 22:58:53 +0000 2018,0.067,0.877,0.056,-0.4215,Fri Apr 06 00:56:56 +0000 2018,0.275,0.725,0.0,-0.3612,Thu Apr 05 09:14:02 +0000 2018,0.113,0.825,0.062,-194
193,0.0,Thu Mar 29 07:00:10 +0000 2018,0.0,1.0,0.0,0.5994,Mon Jan 29 03:49:19 +0000 2018,0.0,0.606,0.394,0.0,Thu Apr 05 23:06:01 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 01:04:10 +0000 2018,0.0,1.0,0.0,0.0,Thu Apr 05 09:30:15 +0000 2018,0.0,1.0,0.0,-193
192,0.0,Thu Mar 29 07:27:07 +0000 2018,0.0,1.0,0.0,0.6114,Mon Jan 29 03:50:25 +0000 2018,0.0,0.688,0.312,0.0,Thu Apr 05 23:16:22 +0000 2018,0.0,1.0,0.0,-0.802,Fri Apr 06 01:23:58 +0000 2018,0.507,0.493,0.0,0.4215,Thu Apr 05 09:45:06 +0000 2018,0.0,0.926,0.074,-192
191,0.784,Thu Mar 29 08:00:12 +0000 2018,0.0,0.655,0.345,0.0572,Mon Jan 29 03:53:06 +0000 2018,0.062,0.864,0.073,0.0,Thu Apr 05 23:17:05 +0000 2018,0.0,1.0,0.0,-0.7353,Fri Apr 06 01:32:38 +0000 2018,0.154,0.846,0.0,0.0,Thu Apr 05 10:00:10 +0000 2018,0.0,1.0,0.0,-191
190,0.6908,Thu Mar 29 10:18:02 +0000 2018,0.0,0.769,0.231,-0.34,Mon Jan 29 03:55:20 +0000 2018,0.112,0.888,0.0,-0.296,Thu Apr 05 23:27:55 +0000 2018,0.075,0.925,0.0,0.0,Fri Apr 06 01:47:13 +0000 2018,0.0,1.0,0.0,0.0,Thu Apr 05 10:10:04 +0000 2018,0.0,1.0,0.0,-190
