,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos
0,0.0,Sun Apr 08 15:31:00 +0000 2018,0.0,1.0,0.0,0.4199,Sun Apr 08 15:00:00 +0000 2018,0.0,0.92,0.08,-0.2023,Sun Apr 08 15:30:09 +0000 2018,0.167,0.725,0.109,-0.2263,Sun Apr 08 15:26:29 +0000 2018,0.091,0.909,0.0,0.0,Sun Apr 08 15:32:02 +0000 2018,0.0,1.0,0.0
1,0.0,Sun Apr 08 15:11:04 +0000 2018,0.0,1.0,0.0,0.8313,Sat Apr 07 19:35:08 +0000 2018,0.0,0.799,0.201,0.3612,Sun Apr 08 15:00:13 +0000 2018,0.0,0.918,0.082,0.3818,Sun Apr 08 15:25:30 +0000 2018,0.0,0.902,0.098,0.2297,Sun Apr 08 15:17:04 +0000 2018,0.0,0.854,0.146
2,-0.2023,Sun Apr 08 13:54:07 +0000 2018,0.189,0.811,0.0,0.0,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 14:30:13 +0000 2018,0.0,1.0,0.0,-0.5106,Sun Apr 08 15:21:16 +0000 2018,0.152,0.789,0.059,0.4685,Sun Apr 08 15:02:08 +0000 2018,0.0,0.844,0.156
3,0.875,Sun Apr 08 13:23:39 +0000 2018,0.0,0.607,0.393,0.4199,Sat Apr 07 16:30:02 +0000 2018,0.0,0.924,0.076,-0.0258,Sun Apr 08 14:00:08 +0000 2018,0.097,0.811,0.093,0.0,Sun Apr 08 15:16:31 +0000 2018,0.0,1.0,0.0,0.2732,Sun Apr 08 14:42:07 +0000 2018,0.098,0.711,0.191
4,0.2732,Sun Apr 08 13:03:04 +0000 2018,0.0,0.488,0.512,0.4389,Sat Apr 07 15:31:12 +0000 2018,0.0,0.928,0.072,-0.6249,Sun Apr 08 13:45:09 +0000 2018,0.175,0.825,0.0,-0.1779,Sun Apr 08 15:05:31 +0000 2018,0.134,0.866,0.0,0.4215,Sun Apr 08 14:27:03 +0000 2018,0.0,0.877,0.123
5,-0.0772,Sun Apr 08 11:00:15 +0000 2018,0.058,0.942,0.0,0.0,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,-0.6808,Sun Apr 08 13:30:07 +0000 2018,0.221,0.697,0.082,0.3818,Sun Apr 08 15:03:45 +0000 2018,0.0,0.822,0.178,0.0,Sun Apr 08 14:12:10 +0000 2018,0.0,1.0,0.0
6,0.5859,Sun Apr 08 10:15:06 +0000 2018,0.0,0.787,0.213,0.0,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,-0.8519,Sun Apr 08 13:28:29 +0000 2018,0.249,0.751,0.0,0.0,Sun Apr 08 14:57:07 +0000 2018,0.0,1.0,0.0,-0.34,Sun Apr 08 13:55:05 +0000 2018,0.194,0.806,0.0
7,0.3818,Sun Apr 08 10:01:07 +0000 2018,0.0,0.894,0.106,0.3164,Fri Apr 06 13:45:00 +0000 2018,0.0,0.959,0.041,0.2023,Sun Apr 08 13:26:23 +0000 2018,0.0,0.942,0.058,-0.6486,Sun Apr 08 14:50:32 +0000 2018,0.306,0.694,0.0,0.0,Sun Apr 08 13:47:11 +0000 2018,0.0,1.0,0.0
8,0.0,Sun Apr 08 09:08:02 +0000 2018,0.0,1.0,0.0,0.6964,Thu Apr 05 21:44:00 +0000 2018,0.0,0.883,0.117,0.3804,Sun Apr 08 13:18:41 +0000 2018,0.046,0.852,0.102,-0.4404,Sun Apr 08 14:37:32 +0000 2018,0.153,0.847,0.0,-0.5574,Sun Apr 08 13:30:06 +0000 2018,0.143,0.823,0.034
9,0.0,Sun Apr 08 08:17:18 +0000 2018,0.0,1.0,0.0,0.6597,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,-0.4019,Sun Apr 08 13:09:00 +0000 2018,0.091,0.909,0.0,-0.296,Sun Apr 08 14:32:31 +0000 2018,0.091,0.909,0.0,-0.6908,Sun Apr 08 13:00:16 +0000 2018,0.186,0.814,0.0
10,0.6369,Sun Apr 08 08:08:07 +0000 2018,0.0,0.792,0.208,-0.3875,Thu Apr 05 17:00:00 +0000 2018,0.082,0.88,0.038,0.0,Sun Apr 08 13:00:01 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 14:28:31 +0000 2018,0.0,1.0,0.0,-0.4404,Sun Apr 08 12:30:04 +0000 2018,0.14,0.789,0.072
11,0.3612,Sun Apr 08 07:02:06 +0000 2018,0.0,0.783,0.217,0.8217,Wed Apr 04 22:07:01 +0000 2018,0.0,0.844,0.156,0.4019,Sun Apr 08 12:30:05 +0000 2018,0.0,0.803,0.197,-0.34,Sun Apr 08 14:27:35 +0000 2018,0.146,0.854,0.0,0.6124,Sun Apr 08 12:00:16 +0000 2018,0.0,0.792,0.208
12,0.5719,Sat Apr 07 18:00:22 +0000 2018,0.0,0.748,0.252,0.7568,Wed Apr 04 21:48:07 +0000 2018,0.0,0.712,0.288,-0.8402,Sun Apr 08 12:01:30 +0000 2018,0.205,0.795,0.0,-0.4404,Sun Apr 08 14:26:57 +0000 2018,0.153,0.847,0.0,0.5423,Sun Apr 08 11:30:15 +0000 2018,0.098,0.721,0.18
13,0.0,Sat Apr 07 17:19:26 +0000 2018,0.0,1.0,0.0,0.8495,Wed Apr 04 21:47:26 +0000 2018,0.0,0.634,0.366,0.5096,Sun Apr 08 11:30:16 +0000 2018,0.071,0.762,0.167,-0.6249,Sun Apr 08 14:25:59 +0000 2018,0.215,0.785,0.0,-0.6486,Sun Apr 08 11:02:53 +0000 2018,0.346,0.654,0.0
